epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84185,2.66256,9.73267,2.25647,0.00109,0.30612,0.00071,0.00028,2.14337,7.43568,2.21226,0.00024,0.00024,0.00024
2,12.0133,1.52684,5.68323,1.44028,0.00283,0.79592,0.11426,0.05708,1.46741,5.86941,1.46366,0.000499505,0.000499505,0.000499505
3,17.1238,1.33385,5.26568,1.27044,1,0.07776,0.26004,0.08874,1.44466,5.86514,1.43239,0.000758495,0.000758495,0.000758495
4,22.24,1.29117,4.66592,1.24627,0.51889,0.53061,0.50171,0.29767,1.42918,5.82317,1.29739,0.00101697,0.00101697,0.00101697
5,27.3482,1.28512,4.03459,1.18837,0.54798,0.66805,0.54936,0.24808,1.57172,4.65139,1.30706,0.00127493,0.00127493,0.00127493
6,32.4289,1.23557,3.89148,1.18391,0.57304,0.41093,0.50968,0.22389,1.78076,6.11647,1.61213,0.00153238,0.00153238,0.00153238
7,37.5058,1.31327,3.63469,1.21716,0.44516,0.34694,0.37297,0.18077,1.52354,6.08587,1.79752,0.00178931,0.00178931,0.00178931
8,42.5792,1.28113,3.01419,1.17161,0.14868,0.34694,0.15538,0.06773,1.61446,12.2391,1.47775,0.00198614,0.00198614,0.00198614
9,47.6771,1.2225,2.86001,1.16176,0.26854,0.5102,0.32731,0.18609,1.53014,9.13262,1.45973,0.00198416,0.00198416,0.00198416
10,52.7548,1.24851,2.60553,1.17811,0.65145,0.53061,0.67273,0.35691,1.38239,6.08942,1.24464,0.00198218,0.00198218,0.00198218
11,57.9019,1.24767,2.5694,1.1985,0.5999,0.4898,0.48185,0.22853,1.69528,4.77934,1.64239,0.0019802,0.0019802,0.0019802
12,62.9608,1.1984,2.45841,1.14466,0.5391,0.45364,0.50717,0.30832,1.50342,2.35832,1.51106,0.00197822,0.00197822,0.00197822
13,68.024,1.20811,2.32623,1.12921,0.65026,0.63265,0.69038,0.40707,1.32741,2.08934,1.24041,0.00197624,0.00197624,0.00197624
