epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9889,2.62072,10.1036,2.24208,0.00094,0.26531,0.00084,0.00039,2.30651,7.59929,2.32691,0.00024,0.00024,0.00024
2,18.9097,1.40032,5.72417,1.2806,0.00304,0.85714,0.09132,0.03666,1.53865,6.35264,1.48437,0.000499505,0.000499505,0.000499505
3,25.6806,1.29106,5.38389,1.16934,0.45231,0.30612,0.2883,0.14952,1.37596,6.15349,1.27581,0.000758495,0.000758495,0.000758495
4,34.5744,1.23985,4.82022,1.16507,0.27872,0.38776,0.2402,0.08557,1.59788,9.10206,1.74981,0.00101697,0.00101697,0.00101697
5,42.2545,1.22828,4.24351,1.13726,0.47235,0.63265,0.56458,0.31426,1.52327,7.07221,1.37191,0.00127493,0.00127493,0.00127493
6,49.7747,1.22866,4.21228,1.12528,0.38127,0.47796,0.42612,0.20837,2.01055,7.16654,1.59094,0.00153238,0.00153238,0.00153238
7,56.3704,1.24816,3.74436,1.11509,0.5663,0.69388,0.65739,0.36941,1.35425,7.64767,1.20431,0.00178931,0.00178931,0.00178931
8,62.1954,1.26096,3.21501,1.12166,0.85714,0.12245,0.39279,0.19972,1.26534,32.1969,1.25505,0.00198614,0.00198614,0.00198614
9,68.0226,1.16747,2.98614,1.09314,0.50296,0.61224,0.61758,0.34425,1.25496,11.0315,1.1704,0.00198416,0.00198416,0.00198416
10,74.4401,1.11257,2.6173,1.06147,0.40571,0.43195,0.36463,0.20813,1.53627,3.69369,1.36268,0.00198218,0.00198218,0.00198218
11,80.1482,1.12191,2.48679,1.07229,0.5405,0.67347,0.56573,0.32755,1.23109,3.70086,1.10639,0.0019802,0.0019802,0.0019802
12,86.0504,1.1538,2.43231,1.07709,0.66933,0.61975,0.66377,0.34353,1.31851,2.50323,1.09906,0.00197822,0.00197822,0.00197822
13,92.06,1.13187,2.24665,1.05968,0.57411,0.40816,0.47862,0.2657,1.34266,9.25613,1.09847,0.00197624,0.00197624,0.00197624
14,97.7009,1.14876,2.12303,1.05977,0.66907,0.74277,0.73578,0.43279,1.30471,2.99547,1.25032,0.00197426,0.00197426,0.00197426
15,104.111,1.14439,2.07021,1.06433,0.6182,0.73469,0.77818,0.51385,1.13979,3.20572,1.14044,0.00197228,0.00197228,0.00197228
16,109.977,1.16115,2.01823,1.05974,0.74325,0.7551,0.80245,0.51879,1.17717,3.35048,1.14322,0.0019703,0.0019703,0.0019703
17,115.999,1.06115,1.67073,1.02798,0.54095,0.59184,0.57334,0.29905,1.49071,5.17319,1.52822,0.00196832,0.00196832,0.00196832
18,122.249,1.02635,1.61712,1.00072,0.53958,0.65306,0.6425,0.3962,1.23219,2.13013,1.24117,0.00196634,0.00196634,0.00196634
19,128.612,0.99077,1.52644,0.98697,0.68135,0.56737,0.64215,0.43683,1.169,1.98216,1.13107,0.00196436,0.00196436,0.00196436
20,135.178,1.03274,1.54988,1.01537,0.7525,0.73469,0.75478,0.52618,1.09636,1.61318,1.11107,0.00196238,0.00196238,0.00196238
21,140.86,0.99255,1.40515,1.0083,0.49525,0.46067,0.459,0.31833,1.18297,2.09067,1.07394,0.0019604,0.0019604,0.0019604
22,146.486,1.01869,1.46065,1.01624,0.71912,0.63265,0.67958,0.4701,1.10652,1.3871,1.12072,0.00195842,0.00195842,0.00195842
23,153.182,0.9489,1.39085,1.00167,0.61585,0.79592,0.71856,0.49302,1.09798,1.2913,1.04419,0.00195644,0.00195644,0.00195644
24,159.368,0.94645,1.32771,0.9817,0.56451,0.61224,0.54221,0.36795,1.22349,2.05927,1.19045,0.00195446,0.00195446,0.00195446
25,165.149,0.97007,1.32341,1.00149,0.73422,0.65306,0.7117,0.51752,1.1116,1.47442,1.09172,0.00195248,0.00195248,0.00195248
26,170.733,0.89831,1.21896,0.96883,0.6837,0.70591,0.77414,0.54874,1.02543,1.7626,1.02457,0.0019505,0.0019505,0.0019505
27,176.326,0.87309,1.19822,0.96432,0.74506,0.57143,0.67322,0.48624,1.05416,1.5644,1.0679,0.00194852,0.00194852,0.00194852
28,182.148,0.92579,1.11905,0.98502,0.6862,0.79592,0.78447,0.54683,1.05864,1.90129,1.09191,0.00194654,0.00194654,0.00194654
29,188.161,0.966,1.16022,0.98109,0.74019,0.77551,0.81544,0.55424,1.22082,1.15962,1.11837,0.00194456,0.00194456,0.00194456
30,194.486,0.9279,1.08166,0.98715,0.82828,0.81633,0.88795,0.58275,1.17033,1.15322,1.17446,0.00194258,0.00194258,0.00194258
31,201.195,0.87673,1.07561,0.9695,0.78629,0.87755,0.9188,0.66951,0.96049,0.97049,1.09277,0.0019406,0.0019406,0.0019406
32,207.143,0.83546,0.97154,0.94835,0.80909,0.81633,0.89599,0.63799,0.97743,1.53791,1.01225,0.00193862,0.00193862,0.00193862
33,213.347,0.85028,1.0222,0.95534,0.81669,0.90931,0.92549,0.69436,0.86947,1.0292,0.95274,0.00193664,0.00193664,0.00193664
34,219.464,0.8341,0.97915,0.93857,0.88298,0.89796,0.95509,0.69715,0.86002,1.00622,0.96014,0.00193466,0.00193466,0.00193466
35,226.105,0.83387,0.95732,0.94341,0.76898,0.74736,0.80648,0.59549,0.97008,1.17403,1.00616,0.00193268,0.00193268,0.00193268
36,232.008,0.8149,0.93395,0.95885,0.69819,0.83673,0.84427,0.65138,0.87756,0.95328,1.00671,0.0019307,0.0019307,0.0019307
37,238.41,0.89673,0.9781,0.97975,0.77977,0.83673,0.89163,0.66059,0.98676,0.96174,1.03216,0.00192872,0.00192872,0.00192872
38,244.398,0.83081,0.97054,0.9672,0.84785,0.79592,0.8677,0.643,0.9114,1.13652,0.98961,0.00192674,0.00192674,0.00192674
39,250.356,0.79601,0.94487,0.94626,0.83595,0.71429,0.79479,0.57848,1.01471,1.23692,1.1029,0.00192476,0.00192476,0.00192476
40,256.68,0.80859,0.95604,0.94098,0.85027,0.69388,0.8132,0.56965,1.00803,1.20519,1.04437,0.00192278,0.00192278,0.00192278
41,262.665,0.83174,0.97833,0.96091,0.88917,0.65499,0.80309,0.58694,1.01682,1.42492,0.96222,0.0019208,0.0019208,0.0019208
42,268.728,0.82548,0.88827,0.92217,0.90448,0.77305,0.88037,0.66148,0.94966,1.00684,0.95624,0.00191882,0.00191882,0.00191882
43,274.243,0.82155,0.93253,0.95679,0.79751,0.79592,0.8402,0.66609,0.87301,1.02854,0.95059,0.00191684,0.00191684,0.00191684
44,279.844,0.84304,0.91797,0.97925,0.81321,0.81633,0.88279,0.64226,0.96451,1.05586,1.03296,0.00191486,0.00191486,0.00191486
45,285.723,0.7921,0.86894,0.93289,0.75471,0.79592,0.86173,0.63258,0.9368,1.14363,1.01357,0.00191288,0.00191288,0.00191288
46,291.449,0.78145,0.94403,0.94326,0.74779,0.84723,0.87194,0.65182,0.89817,1.00205,0.99501,0.0019109,0.0019109,0.0019109
47,296.943,0.74096,0.79687,0.91341,0.67028,0.77551,0.79866,0.54594,0.9114,1.50426,1.05878,0.00190892,0.00190892,0.00190892
48,303.305,0.74637,0.84755,0.93109,0.7196,0.78573,0.80142,0.59741,0.87873,1.25061,1.01258,0.00190694,0.00190694,0.00190694
49,309.304,0.75535,0.88385,0.91708,0.70036,0.87755,0.83723,0.63335,0.87658,1.79401,1.07109,0.00190496,0.00190496,0.00190496
50,315.229,0.75582,0.84926,0.92471,0.80649,0.91837,0.90223,0.6721,0.87082,1.24345,1.00733,0.00190298,0.00190298,0.00190298
51,320.842,0.79162,0.83121,0.94564,0.86493,0.91483,0.90292,0.69255,0.8658,1.08742,0.99247,0.001901,0.001901,0.001901
52,327.474,0.78851,0.82426,0.93549,0.74342,0.87755,0.87669,0.64026,0.87625,0.9809,0.98505,0.00189902,0.00189902,0.00189902
