epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,236.213,1.08835,0.86445,1.22337,0.79138,0.7039,0.78917,0.52367,1.20833,1.01618,1.31824,0.00191882,0.00191882,0.00191882
43,241.577,1.04792,0.82743,1.2101,0.7896,0.70996,0.79682,0.52971,1.20678,1.02156,1.31531,0.00191684,0.00191684,0.00191684
44,246.984,1.05626,0.82266,1.20257,0.77998,0.73969,0.8009,0.51916,1.2435,1.01314,1.32738,0.00191486,0.00191486,0.00191486
45,252.332,1.0996,0.84111,1.22783,0.80199,0.74372,0.82256,0.54987,1.18056,0.92775,1.29086,0.00191288,0.00191288,0.00191288
46,257.786,1.09261,0.83649,1.2097,0.77987,0.68707,0.77395,0.49751,1.26823,1.02842,1.34814,0.0019109,0.0019109,0.0019109
47,263.221,1.08335,0.83238,1.21622,0.81038,0.75855,0.81478,0.5411,1.19347,0.96502,1.31417,0.00190892,0.00190892,0.00190892
48,268.627,1.0742,0.84031,1.19446,0.77306,0.72035,0.77704,0.49703,1.24141,1.02604,1.33737,0.00190694,0.00190694,0.00190694
49,274.023,1.09104,0.82471,1.21443,0.78597,0.7408,0.79442,0.52195,1.21515,0.99105,1.33191,0.00190496,0.00190496,0.00190496
50,279.421,1.0429,0.81114,1.2061,0.78534,0.729,0.80594,0.52581,1.23654,0.9589,1.34104,0.00190298,0.00190298,0.00190298
51,284.885,1.06992,0.82881,1.19933,0.65469,0.69524,0.69462,0.42989,1.31877,1.23552,1.40323,0.001901,0.001901,0.001901
52,290.253,1.07211,0.82932,1.20735,0.78343,0.72814,0.79666,0.51055,1.26149,0.9995,1.34733,0.00189902,0.00189902,0.00189902
53,295.701,1.09155,0.86871,1.21418,0.76667,0.7013,0.77133,0.49837,1.26358,1.04993,1.35277,0.00189704,0.00189704,0.00189704
54,301.073,1.07108,0.82468,1.19882,0.76989,0.70679,0.77319,0.49969,1.21984,1.00583,1.3157,0.00189506,0.00189506,0.00189506
55,306.383,1.05594,0.81057,1.20727,0.79878,0.71491,0.79574,0.52468,1.20627,0.94776,1.32512,0.00189308,0.00189308,0.00189308
56,311.757,1.057,0.80041,1.19008,0.81845,0.73506,0.81068,0.5357,1.18718,0.94101,1.31568,0.0018911,0.0018911,0.0018911
57,317.156,1.0529,0.78068,1.19796,0.80342,0.76431,0.82151,0.55072,1.18185,0.92328,1.28847,0.00188912,0.00188912,0.00188912
58,322.507,1.04214,0.77143,1.18591,0.81318,0.71515,0.80041,0.53113,1.19243,0.9686,1.29616,0.00188714,0.00188714,0.00188714
59,327.869,1.03495,0.76419,1.18081,0.76269,0.74026,0.79188,0.51154,1.23267,1.03954,1.34525,0.00188516,0.00188516,0.00188516
60,333.216,1.02595,0.76322,1.1644,0.78549,0.78442,0.83525,0.55559,1.16919,0.91094,1.28949,0.00188318,0.00188318,0.00188318
61,338.565,1.00656,0.74115,1.17541,0.8193,0.72814,0.8129,0.53225,1.21734,0.93172,1.3161,0.0018812,0.0018812,0.0018812
62,343.966,1.00474,0.73102,1.16549,0.81634,0.76277,0.82204,0.54606,1.20974,0.91261,1.32332,0.00187922,0.00187922,0.00187922
63,349.363,1.0316,0.76205,1.18982,0.82127,0.75584,0.82292,0.54725,1.18586,0.92884,1.3054,0.00187724,0.00187724,0.00187724
64,354.836,0.99458,0.74073,1.14088,0.79908,0.7619,0.81734,0.53312,1.23135,0.92027,1.34222,0.00187526,0.00187526,0.00187526
65,360.317,1.04547,0.76648,1.18373,0.78882,0.75029,0.80301,0.51089,1.28157,0.94924,1.3792,0.00187328,0.00187328,0.00187328
66,365.643,1.00606,0.75415,1.16788,0.81275,0.75498,0.82172,0.54029,1.22172,0.90792,1.30641,0.0018713,0.0018713,0.0018713
67,371.02,1.00667,0.73581,1.1597,0.80083,0.72987,0.80173,0.51924,1.26042,0.9567,1.34969,0.00186932,0.00186932,0.00186932
68,376.35,1.00564,0.73545,1.17138,0.77005,0.71515,0.77136,0.49137,1.28523,0.98121,1.37886,0.00186734,0.00186734,0.00186734
69,381.81,1.00849,0.73377,1.14843,0.74985,0.68775,0.74434,0.46612,1.30053,1.06413,1.3904,0.00186536,0.00186536,0.00186536
70,387.196,0.99736,0.72597,1.15341,0.80228,0.70616,0.78911,0.51603,1.23043,0.9852,1.35108,0.00186338,0.00186338,0.00186338
71,392.603,1.00406,0.73096,1.16406,0.77618,0.7039,0.77615,0.5005,1.25444,1.0105,1.36561,0.0018614,0.0018614,0.0018614
72,397.981,0.99936,0.72168,1.15484,0.81878,0.69004,0.78845,0.51874,1.2036,0.95093,1.30927,0.00185942,0.00185942,0.00185942
