epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.38163,3.05,5.96997,2.36579,7e-05,0.02041,4e-05,0,2.09672,4.78276,2.1801,0.00024,0.00024,0.00024
2,7.12399,1.99826,4.41114,1.63053,0.00275,0.77551,0.00268,0.00109,1.87766,4.24682,1.64011,0.00049505,0.00049505,0.00049505
3,8.83709,1.69994,3.79404,1.38386,0.00333,0.93878,0.00429,0.00194,1.53097,3.89977,1.35067,0.000744952,0.000744952,0.000744952
4,10.5404,1.67874,3.5033,1.34081,0.00326,0.91837,0.00435,0.00184,1.86166,4.10702,1.56422,0.000989706,0.000989706,0.000989706
5,12.2232,1.57113,3.08893,1.27811,0.02587,0.08163,0.04134,0.0134,1.86925,3.8155,1.49186,0.00122931,0.00122931,0.00122931
6,13.9055,1.51916,2.91727,1.2779,0.5074,0.27346,0.33137,0.14915,1.74707,3.43631,1.39261,0.00146377,0.00146377,0.00146377
7,15.5704,1.47878,2.75714,1.23909,0.38917,0.32653,0.30443,0.16477,1.56178,3.68274,1.30359,0.00169308,0.00169308,0.00169308
8,17.2423,1.47198,2.55837,1.2078,0.55553,0.40816,0.41028,0.19902,1.89469,3.20465,1.45804,0.0018614,0.0018614,0.0018614
9,18.9153,1.48428,2.32864,1.19437,0.47292,0.36625,0.3615,0.1382,2.0794,3.35745,1.49094,0.0018416,0.0018416,0.0018416
10,20.5771,1.44746,2.29444,1.19456,0.41528,0.63265,0.53329,0.27985,1.5062,10.0878,1.2077,0.0018218,0.0018218,0.0018218
11,22.2756,1.40051,2.19989,1.16102,0.4284,0.71429,0.65144,0.32733,1.49073,10.6363,1.19503,0.001802,0.001802,0.001802
12,23.9425,1.39003,2.22678,1.1757,0.60809,0.55102,0.50382,0.26638,1.54418,2.41691,1.22271,0.0017822,0.0017822,0.0017822
13,25.5901,1.33134,2.02987,1.13406,0.54178,0.61224,0.57047,0.33024,1.42381,2.04559,1.18046,0.0017624,0.0017624,0.0017624
14,27.2428,1.32387,1.96607,1.1242,0.76254,0.45892,0.58779,0.36922,1.30408,2.0623,1.17326,0.0017426,0.0017426,0.0017426
15,28.9082,1.27597,1.92341,1.10509,0.73534,0.5102,0.62325,0.3812,1.32858,1.68706,1.19047,0.0017228,0.0017228,0.0017228
16,30.5716,1.3468,1.90774,1.13415,0.75588,0.56878,0.68599,0.36461,1.41306,2.15364,1.29467,0.001703,0.001703,0.001703
17,32.23,1.26208,1.78987,1.10012,0.74292,0.63265,0.74107,0.41725,1.36655,1.63189,1.22672,0.0016832,0.0016832,0.0016832
18,33.8884,1.24916,1.59031,1.07522,0.94299,0.34694,0.48545,0.23093,1.58741,2.42291,1.44146,0.0016634,0.0016634,0.0016634
19,35.5702,1.21492,1.61343,1.03419,0.69684,0.51613,0.57782,0.3278,1.46891,1.91853,1.23993,0.0016436,0.0016436,0.0016436
20,37.246,1.22267,1.64711,1.09189,0.74306,0.67347,0.74822,0.45387,1.31901,1.31902,1.10259,0.0016238,0.0016238,0.0016238
21,38.901,1.20302,1.6139,1.06274,0.69616,0.57143,0.66588,0.37584,1.33248,1.70402,1.18425,0.001604,0.001604,0.001604
22,40.5596,1.20181,1.55758,1.06802,0.76213,0.71934,0.77628,0.45626,1.30271,1.73896,1.16351,0.0015842,0.0015842,0.0015842
23,42.2425,1.13019,1.46422,1.04503,0.87914,0.7551,0.81505,0.54081,1.15234,1.67609,1.06007,0.0015644,0.0015644,0.0015644
24,43.9071,1.15022,1.45437,1.03237,0.68819,0.59184,0.69525,0.43885,1.27046,1.47503,1.12216,0.0015446,0.0015446,0.0015446
25,45.5688,1.16346,1.47305,1.056,0.68281,0.65907,0.69801,0.46747,1.27407,1.50281,1.15112,0.0015248,0.0015248,0.0015248
26,47.2505,1.12415,1.3896,1.04103,0.73752,0.68821,0.77138,0.50687,1.2417,1.50536,1.14869,0.001505,0.001505,0.001505
27,48.8985,1.12466,1.35827,1.03126,0.63249,0.65306,0.69299,0.46988,1.33366,1.65696,1.19592,0.0014852,0.0014852,0.0014852
28,50.5624,1.05578,1.29797,1.01584,0.68284,0.7551,0.73643,0.47637,1.24221,1.90851,1.11003,0.0014654,0.0014654,0.0014654
29,52.2222,1.11917,1.34918,1.01674,0.73106,0.6658,0.77494,0.4994,1.15534,1.18112,1.05018,0.0014456,0.0014456,0.0014456
30,53.8704,1.09853,1.28286,1.02495,0.7674,0.77551,0.80428,0.52643,1.10996,1.22376,1.06651,0.0014258,0.0014258,0.0014258
31,55.5173,1.0958,1.25892,1.01164,0.85343,0.7551,0.83786,0.55243,1.16096,1.13415,1.05436,0.001406,0.001406,0.001406
32,57.1861,1.05566,1.17494,0.99878,0.75973,0.7099,0.81015,0.52534,1.21982,1.16729,1.08057,0.0013862,0.0013862,0.0013862
33,58.839,1.039,1.23358,0.99813,0.76679,0.71429,0.78808,0.53368,1.11736,1.21011,1.02484,0.0013664,0.0013664,0.0013664
34,60.4841,1.04802,1.22566,0.99362,0.74944,0.85463,0.7768,0.5177,1.06782,1.1313,1.01589,0.0013466,0.0013466,0.0013466
35,62.1547,1.04575,1.14396,0.9813,0.73725,0.77551,0.80625,0.54469,1.01766,1.17285,1.01399,0.0013268,0.0013268,0.0013268
36,63.8134,0.95862,1.08379,0.9748,0.69397,0.83673,0.79622,0.52179,1.13179,1.15186,1.023,0.001307,0.001307,0.001307
37,65.4671,1.04576,1.14678,0.98558,0.65495,0.79592,0.72577,0.46115,1.17934,1.27269,1.06394,0.0012872,0.0012872,0.0012872
38,67.1227,1.0546,1.13319,0.98757,0.7231,0.7551,0.78837,0.52449,1.14241,1.20216,1.03219,0.0012674,0.0012674,0.0012674
39,68.7629,1.02015,1.08386,0.98762,0.84212,0.71429,0.8091,0.53521,1.16551,1.23983,1.06782,0.0012476,0.0012476,0.0012476
40,70.4228,1.01242,1.05958,0.97107,0.72794,0.83673,0.84574,0.585,1.1069,1.16892,0.99297,0.0012278,0.0012278,0.0012278
41,72.0739,0.99222,1.0766,0.97777,0.77634,0.77551,0.85901,0.61854,1.0277,1.07791,0.95624,0.001208,0.001208,0.001208
42,73.7236,0.95779,0.9927,0.93666,0.81916,0.77551,0.82362,0.55958,1.06371,1.25357,1.00963,0.0011882,0.0011882,0.0011882
43,75.3662,0.97115,0.99042,0.9554,0.79323,0.7551,0.78123,0.52371,1.14165,1.3012,1.06154,0.0011684,0.0011684,0.0011684
44,77.0237,1.00982,1.02071,0.99489,0.81119,0.79592,0.81212,0.55451,0.99841,1.30482,0.9933,0.0011486,0.0011486,0.0011486
45,78.6785,0.99337,1.02432,0.95413,0.84263,0.76501,0.85073,0.59627,1.02736,1.13043,0.98676,0.0011288,0.0011288,0.0011288
46,80.3291,0.98841,1.01211,0.95892,0.76142,0.81633,0.83185,0.57194,1.0707,1.13025,0.99639,0.001109,0.001109,0.001109
47,81.9741,0.95446,0.95158,0.94429,0.8144,0.79592,0.87022,0.63216,1.11748,1.00054,1.03301,0.0010892,0.0010892,0.0010892
48,83.6372,0.91618,0.95079,0.96388,0.77378,0.87755,0.90998,0.63587,1.07993,0.96318,1.0181,0.0010694,0.0010694,0.0010694
49,85.2884,0.93064,0.9673,0.94505,0.79298,0.79592,0.85814,0.59203,1.14084,1.16014,1.0528,0.0010496,0.0010496,0.0010496
50,86.9308,0.87039,0.94893,0.93589,0.89859,0.72344,0.86888,0.60725,1.06278,1.06644,1.01417,0.0010298,0.0010298,0.0010298
51,88.5784,0.91247,0.9723,0.93613,0.87198,0.7551,0.8778,0.59003,1.11141,1.0596,1.03386,0.00101,0.00101,0.00101
